Character,Win Rate
Baiken,55.76825796724824
Happy Chaos,54.6900394706292
Jack-O,54.33072526730919
Leo Whitefang,53.180823358235415
May,52.426389492329804
Testament,52.29130320865525
Axl Low,51.95527242873622
Zato=1,51.63167284204748
Giovanna,51.56769287175788
Potemkin,51.35116586311618
Millia,51.321856605586824
Ky Kiske,50.84214602758498
Chipp,50.812768240343345
Ino,50.77604035796433
Nagoriyuki,50.69678007651696
Sol Badguy,49.87550862018689
Ramlethal,49.85194565310533
Brisket,49.299050927361826
Anji Mito,49.24044238367583
Sin Kiske,48.087963561429255
Faust,47.10603675118632
