Character 1,Character 2,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
SO,KY,87999,51.06,48.94,0
SO,MA,40669,48.47,51.53,-1
SO,AX,23079,47.07,52.93,-2
SO,CH,34417,53.08,46.92,+2
SO,PO,48243,43.15,56.85,-3
SO,FA,32323,50.61,49.39,0
SO,MI,30833,52.18,47.82,+1
SO,ZA,26224,49.16,50.84,0
SO,RA,59144,52.48,47.52,+1
SO,LE,24696,48.20,51.80,-1
SO,NA,48686,45.63,54.37,-2
SO,GI,55155,50.28,49.72,0
SO,AN,28783,46.94,53.06,-2
SO,IN,23585,51.72,48.28,+1
SO,GO,17788,42.07,57.93,-3
SO,JC,21932,49.29,50.71,0
SO,HA,25179,50.39,49.61,0
SO,BA,55966,49.03,50.97,0
SO,TE,40259,44.99,55.01,-3
SO,BI,61144,51.96,48.04,+1
SO,SI,37187,50.44,49.56,0
KY,SO,85522,47.95,52.05,-1
KY,MA,38758,51.00,49.00,0
KY,AX,19981,47.00,53.00,-2
KY,CH,32418,53.34,46.66,+2
KY,PO,44443,47.31,52.69,-2
KY,FA,29789,50.39,49.61,0
KY,MI,28838,51.39,48.61,+1
KY,ZA,21815,50.95,49.05,0
KY,RA,55877,52.27,47.73,+1
KY,LE,22318,49.56,50.44,0
KY,NA,44822,50.97,49.03,0
KY,GI,51784,52.04,47.96,+1
KY,AN,26327,48.24,51.76,-1
KY,IN,21051,50.58,49.42,0
KY,GO,16242,41.28,58.72,-3
KY,JC,18897,49.03,50.97,0
KY,HA,22403,51.24,48.76,0
KY,BA,52512,49.30,50.70,0
KY,TE,35830,52.99,47.01,+2
KY,BI,56799,54.74,45.26,+2
KY,SI,34474,50.54,49.46,0
MA,SO,39500,50.85,49.15,0
MA,KY,38881,48.91,51.09,0
MA,AX,11260,53.51,46.49,+2
MA,CH,17674,55.05,44.95,+3
MA,PO,23185,47.89,52.11,-1
MA,FA,17719,52.24,47.76,+1
MA,MI,15806,54.44,45.56,+2
MA,ZA,12452,52.54,47.46,+2
MA,RA,29636,52.08,47.92,+1
MA,LE,11869,47.56,52.44,-1
MA,NA,23339,49.63,50.37,0
MA,GI,26795,52.48,47.52,+1
MA,AN,14020,44.61,55.39,-3
MA,IN,11911,50.08,49.92,0
MA,GO,8908,44.41,55.59,-3
MA,JC,10820,52.26,47.74,+1
MA,HA,12110,53.25,46.75,+2
MA,BA,27414,48.48,51.52,-1
MA,TE,18455,51.76,48.24,+1
MA,BI,32157,52.61,47.39,+2
MA,SI,17567,52.72,47.28,+2
AX,SO,19869,53.18,46.82,+2
AX,KY,18905,54.18,45.82,+2
AX,MA,11096,45.53,54.47,-2
AX,CH,11037,45.81,54.19,-2
AX,PO,12770,53.52,46.48,+2
AX,FA,9550,58.28,41.72,+3
AX,MI,9011,46.49,53.51,-2
AX,ZA,7149,57.11,42.89,+3
AX,RA,14478,48.13,51.87,-1
AX,LE,6508,55.47,44.53,+3
AX,NA,12344,55.95,44.05,+3
AX,GI,14395,49.91,50.09,0
AX,AN,8125,45.65,54.35,-2
AX,IN,7614,47.47,52.53,-2
AX,GO,5005,54.63,45.37,+2
AX,JC,6471,54.01,45.99,+2
AX,HA,7813,52.64,47.36,+2
AX,BA,14838,45.26,54.74,-2
AX,TE,9423,57.83,42.17,+3
AX,BI,16030,54.57,45.43,+2
AX,SI,9725,53.02,46.98,+2
CH,SO,30937,45.42,54.58,-2
CH,KY,29250,46.98,53.02,-2
CH,MA,15620,44.39,55.61,-3
CH,AX,9780,53.61,46.39,+2
CH,PO,20268,47.99,52.01,-1
CH,FA,13770,49.51,50.49,0
CH,MI,12764,50.48,49.52,0
CH,ZA,10794,49.72,50.28,0
CH,RA,21767,49.53,50.47,0
CH,LE,10750,43.47,56.53,-3
CH,NA,21584,46.56,53.44,-2
CH,GI,22604,49.04,50.96,0
CH,AN,11340,45.11,54.89,-2
CH,IN,10165,47.60,52.40,-1
CH,GO,7270,44.39,55.61,-3
CH,JC,9051,44.75,55.25,-3
CH,HA,10657,52.50,47.50,+1
CH,BA,21821,44.39,55.61,-3
CH,TE,14481,50.82,49.18,0
CH,BI,23177,49.64,50.36,0
CH,SI,14753,48.97,51.03,0
PO,SO,47790,55.06,44.94,+3
PO,KY,47685,52.38,47.62,+1
PO,MA,24304,51.42,48.58,+1
PO,AX,13491,45.63,54.37,-2
PO,CH,24020,51.61,48.39,+1
PO,FA,22220,50.79,49.21,0
PO,MI,19711,54.21,45.79,+2
PO,ZA,15002,52.31,47.69,+1
PO,RA,33845,53.53,46.47,+2
PO,LE,15495,53.06,46.94,+2
PO,NA,30971,52.68,47.32,+2
PO,GI,31868,55.29,44.71,+3
PO,AN,17582,50.50,49.50,0
PO,IN,15327,51.74,48.26,+1
PO,GO,11911,41.84,58.16,-3
PO,JC,12606,47.56,52.44,-1
PO,HA,14195,56.98,43.02,+3
PO,BA,34468,49.64,50.36,0
PO,TE,24102,52.90,47.10,+2
PO,BI,35880,52.68,47.32,+2
PO,SI,23069,55.74,44.26,+3
FA,SO,27186,48.07,51.93,-1
FA,KY,25899,49.42,50.58,0
FA,MA,15361,47.17,52.83,-2
FA,AX,9287,41.47,58.53,-3
FA,CH,14190,49.03,50.97,0
FA,PO,18027,47.93,52.07,-1
FA,MI,11124,51.64,48.36,+1
FA,ZA,9650,53.47,46.53,+2
FA,RA,21616,49.02,50.98,0
FA,LE,9008,48.83,51.17,0
FA,NA,18491,51.93,48.07,+1
FA,GI,20773,51.72,48.28,+1
FA,AN,9908,45.91,54.09,-2
FA,IN,10206,47.32,52.68,-2
FA,GO,6430,49.33,50.67,0
FA,JC,8507,47.31,52.69,-2
FA,HA,9883,47.28,52.72,-2
FA,BA,19135,49.07,50.93,0
FA,TE,14558,48.90,51.10,0
FA,BI,22204,53.08,46.92,+2
FA,SI,13587,50.86,49.14,0
MI,SO,27802,47.41,52.59,-2
MI,KY,26931,48.45,51.55,-1
MI,MA,14780,44.20,55.80,-3
MI,AX,8399,54.51,45.49,+2
MI,CH,13837,48.98,51.02,0
MI,PO,17882,44.53,55.47,-3
MI,FA,12618,49.07,50.93,0
MI,ZA,9677,48.58,51.42,-1
MI,RA,19858,51.41,48.59,+1
MI,LE,8530,43.68,56.32,-3
MI,NA,17742,51.40,48.60,+1
MI,GI,20135,50.84,49.16,0
MI,AN,10311,48.38,51.62,-1
MI,IN,9105,48.27,51.73,-1
MI,GO,6977,40.32,59.68,-3
MI,JC,8066,53.61,46.39,+2
MI,HA,9092,51.18,48.82,0
MI,BA,19903,48.89,51.11,0
MI,TE,13617,52.54,47.46,+2
MI,BI,21403,48.94,51.06,0
MI,SI,13131,51.69,48.31,+1
ZA,SO,24371,51.21,48.79,0
ZA,KY,20904,48.46,51.54,-1
ZA,MA,12318,46.23,53.77,-2
ZA,AX,7875,41.03,58.97,-3
ZA,CH,12152,49.93,50.07,0
ZA,PO,13590,46.17,53.83,-2
ZA,FA,10981,46.74,53.26,-2
ZA,MI,10143,49.70,50.30,0
ZA,RA,16551,48.72,51.28,-1
ZA,LE,7354,47.38,52.62,-2
ZA,NA,14812,48.91,51.09,0
ZA,GI,15917,50.66,49.34,0
ZA,AN,8556,49.52,50.48,0
ZA,IN,8049,47.65,52.35,-1
ZA,GO,6346,49.12,50.88,0
ZA,JC,7221,46.57,53.43,-2
ZA,HA,9525,47.36,52.64,-2
ZA,BA,16466,47.73,52.27,-1
ZA,TE,12027,47.33,52.67,-2
ZA,BI,17909,50.14,49.86,0
ZA,SI,10864,50.57,49.43,0
RA,SO,59201,47.57,52.43,-1
RA,KY,58918,48.06,51.94,-1
RA,MA,31054,48.08,51.92,-1
RA,AX,14505,51.75,48.25,+1
RA,CH,24773,50.61,49.39,0
RA,PO,31187,45.74,54.26,-2
RA,FA,23259,53.21,46.79,+2
RA,MI,22446,48.29,51.71,-1
RA,ZA,17491,50.74,49.26,0
RA,LE,16285,48.28,51.72,-1
RA,NA,35289,50.17,49.83,0
RA,GI,42739,49.67,50.33,0
RA,AN,17929,46.63,53.37,-2
RA,IN,16932,48.09,51.91,-1
RA,GO,10582,45.99,54.01,-2
RA,JC,15004,51.13,48.87,0
RA,HA,17961,53.44,46.56,+2
RA,BA,37721,47.16,52.84,-2
RA,TE,26717,52.68,47.32,+2
RA,BI,48741,50.73,49.27,0
RA,SI,24455,50.61,49.39,0
LE,SO,23352,50.30,49.70,0
LE,KY,22772,49.56,50.44,0
LE,MA,11166,52.14,47.86,+1
LE,AX,7076,45.01,54.99,-2
LE,CH,11531,55.56,44.44,+3
LE,PO,15052,44.69,55.31,-3
LE,FA,10107,51.05,48.95,0
LE,MI,9306,54.89,45.11,+2
LE,ZA,7753,50.84,49.16,0
LE,RA,15424,51.89,48.11,+1
LE,NA,15015,47.55,52.45,-1
LE,GI,15786,53.28,46.72,+2
LE,AN,9249,52.38,47.62,+1
LE,IN,7731,49.76,50.24,0
LE,GO,5894,42.94,57.06,-3
LE,JC,6283,46.49,53.51,-2
LE,HA,7712,51.24,48.76,0
LE,BA,16346,47.72,52.28,-1
LE,TE,12142,42.47,57.53,-3
LE,BI,16863,52.84,47.16,+2
LE,SI,11681,52.34,47.66,+1
NA,SO,47827,53.76,46.24,+2
NA,KY,46754,48.99,51.01,0
NA,MA,23508,50.36,49.64,0
NA,AX,13911,43.63,56.37,-3
NA,CH,26248,53.64,46.36,+2
NA,PO,30231,45.91,54.09,-2
NA,FA,21777,47.53,52.47,-1
NA,MI,21029,48.12,51.88,-1
NA,ZA,15964,50.23,49.77,0
NA,RA,34967,51.39,48.61,+1
NA,LE,15258,50.40,49.60,0
NA,GI,35483,50.43,49.57,0
NA,AN,18024,46.45,53.55,-2
NA,IN,15215,47.64,52.36,-1
NA,GO,11172,48.74,51.26,-1
NA,JC,12800,47.34,52.66,-2
NA,HA,15621,48.42,51.58,-1
NA,BA,34754,48.87,51.13,0
NA,TE,23857,49.57,50.43,0
NA,BI,38160,52.99,47.01,+2
