Character 1,Character 2,Num Matches,Player 1 Win Rate,Player 2 Win Rate,Score
0,1,87999,51.06,48.94,0
0,2,40669,48.47,51.53,-1
0,3,23079,47.07,52.93,-2
0,4,34417,53.08,46.92,+2
0,5,48243,43.15,56.85,-3
0,6,32323,50.61,49.39,0
0,7,30833,52.18,47.82,+1
0,8,26224,49.16,50.84,0
0,9,59144,52.48,47.52,+1
0,10,24696,48.20,51.80,-1
0,11,48686,45.63,54.37,-2
0,12,55155,50.28,49.72,0
0,13,28783,46.94,53.06,-2
0,14,23585,51.72,48.28,+1
0,15,17788,42.07,57.93,-3
0,16,21932,49.29,50.71,0
0,17,25179,50.39,49.61,0
0,18,55966,49.03,50.97,0
0,19,40259,44.99,55.01,-3
0,20,61144,51.96,48.04,+1
0,21,37187,50.44,49.56,0
1,0,85522,47.95,52.05,-1
1,2,38758,51.00,49.00,0
1,3,19981,47.00,53.00,-2
1,4,32418,53.34,46.66,+2
1,5,44443,47.31,52.69,-2
1,6,29789,50.39,49.61,0
1,7,28838,51.39,48.61,+1
1,8,21815,50.95,49.05,0
1,9,55877,52.27,47.73,+1
1,10,22318,49.56,50.44,0
1,11,44822,50.97,49.03,0
1,12,51784,52.04,47.96,+1
1,13,26327,48.24,51.76,-1
1,14,21051,50.58,49.42,0
1,15,16242,41.28,58.72,-3
1,16,18897,49.03,50.97,0
1,17,22403,51.24,48.76,0
1,18,52512,49.30,50.70,0
1,19,35830,52.99,47.01,+2
1,20,56799,54.74,45.26,+2
1,21,34474,50.54,49.46,0
2,0,39500,50.85,49.15,0
2,1,38881,48.91,51.09,0
2,3,11260,53.51,46.49,+2
2,4,17674,55.05,44.95,+3
2,5,23185,47.89,52.11,-1
2,6,17719,52.24,47.76,+1
2,7,15806,54.44,45.56,+2
2,8,12452,52.54,47.46,+2
2,9,29636,52.08,47.92,+1
2,10,11869,47.56,52.44,-1
2,11,23339,49.63,50.37,0
2,12,26795,52.48,47.52,+1
2,13,14020,44.61,55.39,-3
2,14,11911,50.08,49.92,0
2,15,8908,44.41,55.59,-3
2,16,10820,52.26,47.74,+1
2,17,12110,53.25,46.75,+2
2,18,27414,48.48,51.52,-1
2,19,18455,51.76,48.24,+1
2,20,32157,52.61,47.39,+2
2,21,17567,52.72,47.28,+2
3,0,19869,53.18,46.82,+2
3,1,18905,54.18,45.82,+2
3,2,11096,45.53,54.47,-2
3,4,11037,45.81,54.19,-2
3,5,12770,53.52,46.48,+2
3,6,9550,58.28,41.72,+3
3,7,9011,46.49,53.51,-2
3,8,7149,57.11,42.89,+3
3,9,14478,48.13,51.87,-1
3,10,6508,55.47,44.53,+3
3,11,12344,55.95,44.05,+3
3,12,14395,49.91,50.09,0
3,13,8125,45.65,54.35,-2
3,14,7614,47.47,52.53,-2
3,15,5005,54.63,45.37,+2
3,16,6471,54.01,45.99,+2
3,17,7813,52.64,47.36,+2
3,18,14838,45.26,54.74,-2
3,19,9423,57.83,42.17,+3
3,20,16030,54.57,45.43,+2
3,21,9725,53.02,46.98,+2
4,0,30937,45.42,54.58,-2
4,1,29250,46.98,53.02,-2
4,2,15620,44.39,55.61,-3
4,3,9780,53.61,46.39,+2
4,5,20268,47.99,52.01,-1
4,6,13770,49.51,50.49,0
4,7,12764,50.48,49.52,0
4,8,10794,49.72,50.28,0
4,9,21767,49.53,50.47,0
4,10,10750,43.47,56.53,-3
4,11,21584,46.56,53.44,-2
4,12,22604,49.04,50.96,0
4,13,11340,45.11,54.89,-2
4,14,10165,47.60,52.40,-1
4,15,7270,44.39,55.61,-3
4,16,9051,44.75,55.25,-3
4,17,10657,52.50,47.50,+1
4,18,21821,44.39,55.61,-3
4,19,14481,50.82,49.18,0
4,20,23177,49.64,50.36,0
4,21,14753,48.97,51.03,0
5,0,47790,55.06,44.94,+3
5,1,47685,52.38,47.62,+1
5,2,24304,51.42,48.58,+1
5,3,13491,45.63,54.37,-2
5,4,24020,51.61,48.39,+1
5,6,22220,50.79,49.21,0
5,7,19711,54.21,45.79,+2
5,8,15002,52.31,47.69,+1
5,9,33845,53.53,46.47,+2
5,10,15495,53.06,46.94,+2
5,11,30971,52.68,47.32,+2
5,12,31868,55.29,44.71,+3
5,13,17582,50.50,49.50,0
5,14,15327,51.74,48.26,+1
5,15,11911,41.84,58.16,-3
5,16,12606,47.56,52.44,-1
5,17,14195,56.98,43.02,+3
5,18,34468,49.64,50.36,0
5,19,24102,52.90,47.10,+2
5,20,35880,52.68,47.32,+2
5,21,23069,55.74,44.26,+3
6,0,27186,48.07,51.93,-1
6,1,25899,49.42,50.58,0
6,2,15361,47.17,52.83,-2
6,3,9287,41.47,58.53,-3
6,4,14190,49.03,50.97,0
6,5,18027,47.93,52.07,-1
6,7,11124,51.64,48.36,+1
6,8,9650,53.47,46.53,+2
6,9,21616,49.02,50.98,0
6,10,9008,48.83,51.17,0
6,11,18491,51.93,48.07,+1
6,12,20773,51.72,48.28,+1
6,13,9908,45.91,54.09,-2
6,14,10206,47.32,52.68,-2
6,15,6430,49.33,50.67,0
6,16,8507,47.31,52.69,-2
6,17,9883,47.28,52.72,-2
6,18,19135,49.07,50.93,0
6,19,14558,48.90,51.10,0
6,20,22204,53.08,46.92,+2
6,21,13587,50.86,49.14,0
7,0,27802,47.41,52.59,-2
7,1,26931,48.45,51.55,-1
7,2,14780,44.20,55.80,-3
7,3,8399,54.51,45.49,+2
7,4,13837,48.98,51.02,0
7,5,17882,44.53,55.47,-3
7,6,12618,49.07,50.93,0
7,8,9677,48.58,51.42,-1
7,9,19858,51.41,48.59,+1
7,10,8530,43.68,56.32,-3
7,11,17742,51.40,48.60,+1
7,12,20135,50.84,49.16,0
7,13,10311,48.38,51.62,-1
7,14,9105,48.27,51.73,-1
7,15,6977,40.32,59.68,-3
7,16,8066,53.61,46.39,+2
7,17,9092,51.18,48.82,0
7,18,19903,48.89,51.11,0
7,19,13617,52.54,47.46,+2
7,20,21403,48.94,51.06,0
7,21,13131,51.69,48.31,+1
8,0,24371,51.21,48.79,0
8,1,20904,48.46,51.54,-1
8,2,12318,46.23,53.77,-2
8,3,7875,41.03,58.97,-3
8,4,12152,49.93,50.07,0
8,5,13590,46.17,53.83,-2
8,6,10981,46.74,53.26,-2
8,7,10143,49.70,50.30,0
8,9,16551,48.72,51.28,-1
8,10,7354,47.38,52.62,-2
8,11,14812,48.91,51.09,0
8,12,15917,50.66,49.34,0
8,13,8556,49.52,50.48,0
8,14,8049,47.65,52.35,-1
8,15,6346,49.12,50.88,0
8,16,7221,46.57,53.43,-2
8,17,9525,47.36,52.64,-2
8,18,16466,47.73,52.27,-1
8,19,12027,47.33,52.67,-2
8,20,17909,50.14,49.86,0
8,21,10864,50.57,49.43,0
9,0,59201,47.57,52.43,-1
9,1,58918,48.06,51.94,-1
9,2,31054,48.08,51.92,-1
9,3,14505,51.75,48.25,+1
9,4,24773,50.61,49.39,0
9,5,31187,45.74,54.26,-2
9,6,23259,53.21,46.79,+2
9,7,22446,48.29,51.71,-1
9,8,17491,50.74,49.26,0
9,10,16285,48.28,51.72,-1
9,11,35289,50.17,49.83,0
9,12,42739,49.67,50.33,0
9,13,17929,46.63,53.37,-2
9,14,16932,48.09,51.91,-1
9,15,10582,45.99,54.01,-2
9,16,15004,51.13,48.87,0
9,17,17961,53.44,46.56,+2
9,18,37721,47.16,52.84,-2
9,19,26717,52.68,47.32,+2
9,20,48741,50.73,49.27,0
9,21,24455,50.61,49.39,0
10,0,23352,50.30,49.70,0
10,1,22772,49.56,50.44,0
10,2,11166,52.14,47.86,+1
10,3,7076,45.01,54.99,-2
10,4,11531,55.56,44.44,+3
10,5,15052,44.69,55.31,-3
10,6,10107,51.05,48.95,0
10,7,9306,54.89,45.11,+2
10,8,7753,50.84,49.16,0
10,9,15424,51.89,48.11,+1
10,11,15015,47.55,52.45,-1
10,12,15786,53.28,46.72,+2
10,13,9249,52.38,47.62,+1
10,14,7731,49.76,50.24,0
10,15,5894,42.94,57.06,-3
10,16,6283,46.49,53.51,-2
10,17,7712,51.24,48.76,0
10,18,16346,47.72,52.28,-1
10,19,12142,42.47,57.53,-3
10,20,16863,52.84,47.16,+2
10,21,11681,52.34,47.66,+1
11,0,47827,53.76,46.24,+2
11,1,46754,48.99,51.01,0
11,2,23508,50.36,49.64,0
11,3,13911,43.63,56.37,-3
11,4,26248,53.64,46.36,+2
11,5,30231,45.91,54.09,-2
11,6,21777,47.53,52.47,-1
11,7,21029,48.12,51.88,-1
11,8,15964,50.23,49.77,0
11,9,34967,51.39,48.61,+1
11,10,15258,50.40,49.60,0
11,12,35483,50.43,49.57,0
11,13,18024,46.45,53.55,-2
11,14,15215,47.64,52.36,-1
11,15,11172,48.74,51.26,-1
11,16,12800,47.34,52.66,-2
11,17,15621,48.42,51.58,-1
11,18,34754,48.87,51.13,0
11,19,23857,49.57,50.43,0
11,20,38160,52.99,47.01,+2
11,21,22735,51.65,48.35,+1
12,0,50893,50.19,49.81,0
12,1,51665,48.71,51.29,-1
12,2,26239,48.48,51.52,-1
12,3,14398,49.75,50.25,0
12,4,24781,51.05,48.95,0
12,5,30835,45.26,54.74,-2
12,6,23253,49.43,50.57,0
12,7,22084,49.48,50.52,0
12,8,16541,49.64,50.36,0
12,9,40236,51.67,48.33,+1
12,10,15585,45.96,54.04,-2
12,11,33802,49.63,50.37,0
12,13,17286,45.51,54.49,-2
12,14,17588,45.29,54.71,-2
12,15,10440,44.09,55.91,-3
12,16,13765,45.25,54.75,-2
12,17,15593,52.81,47.19,+2
12,18,36935,47.45,52.55,-2
12,19,26975,47.05,52.95,-2
12,20,42572,49.72,50.28,0
12,21,23926,48.74,51.26,-1
13,0,26863,51.51,48.49,+1
13,1,26670,50.99,49.01,0
13,2,13120,53.77,46.23,+2
13,3,8434,53.59,46.41,+2
13,4,12606,53.74,46.26,+2
13,5,17126,48.55,51.45,-1
13,6,11541,53.57,46.43,+2
13,7,11509,50.02,49.98,0
13,8,9135,47.96,52.04,-1
13,9,17634,53.19,46.81,+2
13,10,8949,46.09,53.91,-2
13,11,16366,52.56,47.44,+2
13,12,16382,53.24,46.76,+2
13,14,8595,54.55,45.45,+2
13,15,7639,46.11,53.89,-2
13,16,8055,47.98,52.02,-1
13,17,8758,45.55,54.45,-2
13,18,18870,50.95,49.05,0
13,19,13123,50.47,49.53,0
13,20,18501,51.97,48.03,+1
13,21,13538,52.43,47.57,+1
14,0,21622,46.82,53.18,-2
14,1,20497,48.88,51.12,0
14,2,11393,48.75,51.25,0
14,3,6955,50.47,49.53,0
14,4,11066,53.65,46.35,+2
14,5,14229,47.36,52.64,-2
14,6,10461,53.70,46.30,+2
14,7,9402,52.13,47.87,+1
14,8,8077,51.22,48.78,0
14,9,15097,53.33,46.67,+2
14,10,7208,47.92,52.08,-1
14,11,13873,52.00,48.00,+1
14,12,16360,54.88,45.12,+2
14,13,8365,45.44,54.56,-2
14,15,5076,48.21,51.79,-1
14,16,6314,49.95,50.05,0
14,17,6626,53.50,46.50,+2
14,18,15941,43.27,56.73,-3
14,19,11557,52.38,47.62,+1
14,20,17406,55.15,44.85,+3
14,21,10613,51.00,49.00,0
15,0,18473,56.76,43.24,+3
15,1,17303,58.42,41.58,+3
15,2,9284,53.76,46.24,+2
15,3,5730,41.26,58.74,-3
15,4,9303,51.45,48.55,+1
15,5,11306,56.16,43.84,+3
15,6,8462,49.59,50.41,0
15,7,8098,58.59,41.41,+3
15,8,6681,49.09,50.91,0
15,9,11598,53.11,46.89,+2
15,10,6621,54.12,45.88,+2
15,11,12348,49.60,50.40,0
15,12,11818,55.42,44.58,+3
15,13,8421,53.35,46.65,+2
15,14,6417,48.39,51.61,-1
15,16,5548,48.47,51.53,-1
15,17,6448,49.94,50.06,0
15,18,13360,53.65,46.35,+2
15,19,9162,45.54,54.46,-2
15,20,13114,51.87,48.13,+1
15,21,9269,56.09,43.91,+3
16,0,21886,50.97,49.03,0
16,1,21000,50.64,49.36,0
16,2,12209,45.81,54.19,-2
16,3,7553,45.32,54.68,-2
16,4,10077,51.64,48.36,+1
16,5,12740,50.73,49.27,0
16,6,10723,50.83,49.17,0
16,7,9218,45.47,54.53,-2
16,8,7796,50.87,49.13,0
16,9,16457,48.91,51.09,0
16,10,6599,53.52,46.48,+2
16,11,13102,50.53,49.47,0
16,12,14462,54.47,45.53,+2
16,13,7980,48.56,51.44,-1
16,14,7039,47.81,52.19,-1
16,15,5505,48.17,51.83,-1
16,17,8434,44.66,55.34,-3
16,18,15848,49.16,50.84,0
16,19,10975,53.93,46.07,+2
16,20,17817,52.66,47.34,+2
16,21,10647,50.84,49.16,0
17,0,23980,48.44,51.56,-1
17,1,21907,47.97,52.03,-1
17,2,12454,44.83,55.17,-3
17,3,7979,45.83,54.17,-2
17,4,12325,47.38,52.62,-2
17,5,14587,40.93,59.07,-3
17,6,11178,52.46,47.54,+1
17,7,9799,46.27,53.73,-2
17,8,8693,49.98,50.02,0
17,9,18836,46.78,53.22,-2
17,10,7908,44.92,55.08,-3
17,11,14857,49.12,50.88,0
17,12,16970,45.37,54.63,-2
17,13,8226,50.35,49.65,0
17,14,7098,43.70,56.30,-3
17,15,5709,48.20,51.80,-1
17,16,7124,52.68,47.32,+2
17,18,16779,46.44,53.56,-2
17,19,11574,53.59,46.41,+2
17,20,20107,48.71,51.29,-1
17,21,11160,47.90,52.10,-1
18,0,59631,49.74,50.26,0
18,1,58738,50.05,49.95,0
18,2,29078,50.85,49.15,0
18,3,16385,54.24,45.76,+2
18,4,25013,55.92,44.08,+3
18,5,36317,49.30,50.70,0
18,6,24480,50.02,49.98,0
18,7,24771,48.54,51.46,-1
18,8,18469,52.45,47.55,+1
18,9,40040,53.50,46.50,+2
18,10,18253,49.98,50.02,0
18,11,37447,49.93,50.07,0
18,12,40289,52.76,47.24,+2
18,13,21864,47.44,52.56,-2
18,14,17711,54.94,45.06,+2
18,15,13565,44.87,55.13,-3
18,16,16687,49.60,50.40,0
18,17,18214,51.73,48.27,+1
18,19,30632,50.71,49.29,0
18,20,45335,57.85,42.15,+3
18,21,28788,52.83,47.17,+2
19,0,37705,54.26,45.74,+2
19,1,37607,47.79,52.21,-1
19,2,19626,48.19,51.81,-1
19,3,11443,41.13,58.87,-3
19,4,17289,49.57,50.43,0
19,5,23640,45.58,54.42,-2
19,6,16322,50.13,49.87,0
19,7,16241,48.02,51.98,-1
19,8,12817,51.93,48.07,+1
19,9,28804,47.63,52.37,-1
19,10,11245,56.00,44.00,+3
19,11,23257,50.01,49.99,0
19,12,27920,53.08,46.92,+2
19,13,13466,48.32,51.68,-1
19,14,12616,47.54,52.46,-1
19,15,7599,52.82,47.18,+2
19,16,11225,44.53,55.47,-3
19,17,12046,44.40,55.60,-3
19,18,27620,48.03,51.97,-1
19,20,32254,51.35,48.65,+1
19,21,18095,51.87,48.13,+1
20,0,58831,47.48,52.52,-2
20,1,59514,46.24,53.76,-2
20,2,33012,47.64,52.36,-1
20,3,17264,46.17,53.83,-2
20,4,26259,51.65,48.35,+1
20,5,33597,45.70,54.30,-2
20,6,26378,46.43,53.57,-2
20,7,23670,50.89,49.11,0
20,8,19193,51.38,48.62,+1
20,9,48614,50.09,49.91,0
20,10,16868,48.14,51.86,-1
20,11,35467,48.05,51.95,-1
20,12,43695,51.00,49.00,0
20,13,19146,46.86,53.14,-2
20,14,18651,45.09,54.91,-2
20,15,11522,49.24,50.76,0
20,16,16994,46.35,53.65,-2
20,17,19548,51.48,48.52,+1
20,18,42798,42.20,57.80,-3
20,19,31162,49.35,50.65,0
20,21,28882,47.61,52.39,-1
21,0,37934,48.99,51.01,0
21,1,36704,49.14,50.86,0
21,2,18477,46.63,53.37,-2
21,3,11313,46.21,53.79,-2
21,4,17212,51.36,48.64,+1
21,5,22897,44.18,55.82,-3
21,6,16618,48.04,51.96,-1
21,7,15510,48.18,51.82,-1
21,8,11897,49.41,50.59,0
21,9,25694,49.93,50.07,0
21,10,12207,45.51,54.49,-2
21,11,23796,48.21,51.79,-1
21,12,26373,50.70,49.30,0
21,13,14165,46.47,53.53,-2
21,14,11828,48.27,51.73,-1
21,15,9257,43.83,56.17,-3
21,16,10427,47.68,52.32,-1
21,17,12250,50.25,49.75,0
21,18,27889,46.90,53.10,-2
21,19,19986,46.99,53.01,-2
21,20,30805,52.49,47.51,+1
