Character,Total pick rate,P1 pick rate,P2 pick rate,Raw Count
Sol Badguy,6.66,6.54,6.78,32572
Ky Kiske,5.35,5.21,5.49,35840
May,2.26,2.17,2.34,27439
Axl Low,5.26,5.17,5.35,12115
Chipp,2.235,2.25,2.21,22879
Potemkin,4.63,4.44,4.82,12804
Faust,3.98,4.01,3.95,23475
Millia,3.58,3.47,3.68,17296
Zato=1,10.82,10.84,10.79,16101
Ramlethal,2.05,2.02,2.09,54757
Leo Whitefang,5.755,5.75,5.76,10081
Nagoriyuki,9.395,9.35,9.44,31102
Anji Mito,1.62,1.68,1.55,44486
Ino,2.72,2.64,2.80,7744
Giovanna,0.595,0.64,0.55,13806
Jack-O,1.67,1.76,1.59,3196
Happy Chaos,3.40,3.65,3.15,8443
Baiken,3.835,4.01,3.66,14773
Testament,3.825,3.84,3.81,20934
Brisket,11.06,11.22,10.90,21132
Sin Kiske,9.31,9.34,9.28,55999
