Character,Total pick rate,P1 pick rate,P2 pick rate
SO,16.89913538899988615308781600,8.662373845736182925715515332,8.236761543263703227372300671
KY,18.59045012066521626534587568,9.102123182358983084350553409,9.488326938306233180995322268
MA,9.561389132499039807636250358,4.609298665488997509129646612,4.952090467010042298506603746
AX,3.982640222489394096724837017,1.954413694657577262644826408,2.028226527831816834080010609
CH,7.318479855977400762398992142,3.415282259022993323066260154,3.903197596954407439332731988
PO,10.50256530871904708883437026,5.301012486879456137036652450,5.201552821839590951797717807
FA,8.147435504473182796855823520,3.929720174298371488729781226,4.217715330174811308126042294
MI,5.256099254490384940180328504,2.548419341964847576499495195,2.707679912525537363680833309
ZA,4.409503589930928703058478530,2.193617316740875670414440292,2.215886273190053032644038238
RA,17.17874840958365808894821717,8.645984894641563631040923586,8.532763514942094457907293584
LE,4.638698692261787846904677607,2.317597855174217052265741212,2.321100837087570794638936395
NA,11.51705389212567197827150362,5.905902399417504150408034840,5.611151492708167827863468778
GI,15.14664358034777104009788332,7.342625409880160486614230364,7.804018170467610553483652960
AN,4.077220734149945140801106942,2.060253791039622478634937991,2.016966943110322662166168951
IN,5.681211130975242675327372425,2.855305578874016506551201710,2.825905552101226168776170715
GO,2.015966091135078735773827471,1.071286933001717712202512389,0.9446791581333610235713150820
JC,3.791102175727087683390486151,1.989068194300398213979650177,1.802033981426689469410835974
HA,4.545119032576480729220749163,2.318348494155649997059997323,2.226770538420830732160751840
BA,12.43358408845529757205821456,6.440607567191571825516470896,5.992976521263725746541743659
TE,8.965757100731998113394026665,4.574894378839987539392908213,4.390862721892010574001118452
BI,17.32850088637953057540231122,8.595817189382461820624806867,8.732683696997068754777504351
SI,8.012695807305969206286851682,4.166046346952843608121413353,3.846649460353125598165438329
