Character,Win Rate
Jack-O,53.90735549325858
Ino,53.64797752074757
Axl Low,53.12468902378345
Happy Chaos,52.34274393263993
Testament,52.22868370596904
Zato=1,52.02685312285518
Chipp,51.98244451805234
Faust,51.87138655036008
May,51.76735507945699
Sol Badguy,51.71347294516402
Nagoriyuki,51.625675001134454
Leo Whitefang,51.573158701173305
Ky Kiske,51.47132820216552
Baiken,51.25260740397379
Potemkin,51.0840095510802
Brisket,50.369866180361136
Millia,50.15794652258722
Anji Mito,49.954413966210055
Giovanna,49.89860297431276
Ramlethal,49.599728437667956
Sin Kiske,48.58174980205859
